[03:36:32] 📍 Loaded 754 district venues
[03:36:38] ✅ 1094334 → AUTH OK
[03:36:38] ✅ 1039860 → AUTH OK
[03:36:38] ✅ 1047659 → AUTH OK
[03:36:38] ✅ 1039847 → AUTH OK
[03:36:38] ✅ 1039846 → AUTH OK
[03:36:38] ✅ 1039875 → AUTH OK
[03:36:38] ✅ 1041672 → AUTH OK
[03:36:38] ✅ 1009194 → AUTH OK
[03:36:38] ✅ 28206 → AUTH OK
[03:36:38] ✅ 1096733 → AUTH OK
[03:36:38] ✅ 1031636 → AUTH OK
[03:36:38] ✅ 1041687 → AUTH OK
[03:36:38] ✅ 2855 → AUTH OK
[03:36:38] ✅ 1039862 → AUTH OK
[03:36:38] ✅ 1024343 → AUTH OK
[03:36:38] ✅ 1001773 → AUTH OK
[03:36:38] ✅ 9292 → AUTH OK
[03:36:38] ✅ 4106 → AUTH OK
[03:36:38] ✅ 1039864 → AUTH OK
[03:36:38] ✅ 1097120 → AUTH OK
[03:36:39] ✅ 25805 → AUTH OK
[03:36:39] ✅ 1036959 → AUTH OK
[03:36:39] ✅ 1089130 → AUTH OK
[03:36:39] ✅ 7258 → AUTH OK
[03:36:39] ✅ 1088822 → AUTH OK
[03:36:39] ✅ 1040466 → AUTH OK
[03:36:39] ✅ 1041685 → AUTH OK
[03:36:39] ✅ 4097 → AUTH OK
[03:36:39] ✅ 9242 → AUTH OK
[03:36:39] ✅ 1018795 → AUTH OK
[03:36:39] ✅ 9365 → AUTH OK
[03:36:39] ✅ 1039865 → AUTH OK
[03:36:39] ✅ 1039850 → AUTH OK
[03:36:39] ✅ 27151 → AUTH OK
[03:36:39] ✅ 25803 → AUTH OK
[03:36:39] ✅ 36376 → AUTH OK
[03:36:39] ✅ 1046654 → AUTH OK
[03:36:39] ✅ 1039849 → AUTH OK
[03:36:39] ✅ 1041244 → AUTH OK
[03:36:39] ✅ 1039851 → AUTH OK
[03:36:39] ✅ 7543 → AUTH OK
[03:36:39] ✅ 4693 → AUTH OK
[03:36:39] ✅ 56048 → AUTH OK
[03:36:39] ✅ 13958 → AUTH OK
[03:36:39] ✅ 1041449 → AUTH OK
[03:36:39] ✅ 1098929 → AUTH OK
[03:36:39] ✅ 7813 → AUTH OK
[03:36:39] ✅ 9920 → AUTH OK
[03:36:39] ✅ 1039848 → AUTH OK
[03:36:39] ✅ 7841 → AUTH OK
[03:36:39] ✅ 44361 → AUTH OK
[03:36:39] ✅ 1080239 → AUTH OK
[03:36:39] ✅ 4380 → AUTH OK
[03:36:39] ✅ 1016089 → AUTH OK
[03:36:39] ✅ 28968 → AUTH OK
[03:36:39] ✅ 1056572 → AUTH OK
[03:36:39] ✅ 7301 → AUTH OK
[03:36:39] ✅ 4189 → AUTH OK
[03:36:39] ✅ 1041394 → AUTH OK
[03:36:39] ✅ 1022965 → AUTH OK
[03:36:39] ✅ 1018799 → AUTH OK
[03:36:39] ✅ 27373 → AUTH OK
[03:36:39] ✅ 55733 → AUTH OK
[03:36:39] ✅ 1030438 → AUTH OK
[03:36:39] ✅ 4171 → AUTH OK
[03:36:40] ✅ 4178 → AUTH OK
[03:36:40] ✅ 1075746 → AUTH OK
[03:36:40] ✅ 60083 → AUTH OK
[03:36:40] ✅ 1037518 → AUTH OK
[03:36:40] ✅ 1037525 → AUTH OK
[03:36:40] ✅ 60085 → AUTH OK
[03:36:40] ✅ 1053400 → AUTH OK
[03:36:40] ✅ 1016053 → AUTH OK
[03:36:40] ✅ 1008418 → AUTH OK
[03:36:40] ✅ 14120 → AUTH OK
[03:36:40] ✅ 17069 → AUTH OK
[03:36:40] ✅ 1041743 → AUTH OK
[03:36:40] ✅ 1041728 → AUTH OK
[03:36:40] ✅ 10940 → AUTH OK
[03:36:40] ✅ 25804 → AUTH OK
[03:36:40] ✅ 9487 → AUTH OK
[03:36:40] ✅ 1050791 → AUTH OK
[03:36:40] ✅ 1016133 → AUTH OK
[03:36:40] ✅ 55272 → AUTH OK
[03:36:40] ✅ 1030504 → AUTH OK
[03:36:40] ✅ 1053618 → AUTH OK
[03:36:40] ✅ 1049666 → AUTH OK
[03:36:40] ✅ 5059 → AUTH OK
[03:36:40] ✅ 24521 → AUTH OK
[03:36:40] ✅ 1016088 → AUTH OK
[03:36:40] ✅ 1011174 → AUTH OK
[03:36:40] ✅ 1042640 → AUTH OK
[03:36:40] ✅ 1007054 → AUTH OK
[03:36:40] ✅ 1008456 → AUTH OK
[03:36:40] ✅ 1042615 → AUTH OK
[03:36:40] ✅ 1037511 → AUTH OK
[03:36:40] ✅ 1036962 → AUTH OK
[03:36:40] ✅ 1018652 → AUTH OK
[03:36:40] ✅ 4891 → AUTH OK
[03:36:40] ✅ 4248 → AUTH OK
[03:36:40] ✅ 1042635 → AUTH OK
[03:36:40] ✅ 3960 → AUTH OK
[03:36:40] ✅ 1037961 → AUTH OK
[03:36:40] ✅ 28925 → AUTH OK
[03:36:40] ✅ 1037502 → AUTH OK
[03:36:40] ✅ 1042453 → AUTH OK
[03:36:40] ✅ 3981 → AUTH OK
[03:36:40] ✅ 4232 → AUTH OK
[03:36:41] ✅ 1041504 → AUTH OK
[03:36:41] ✅ 22684 → AUTH OK
[03:36:41] ✅ 3910 → AUTH OK
[03:36:41] ✅ 1037526 → AUTH OK
[03:36:41] ✅ 1012595 → AUTH OK
[03:36:41] ✅ 7881 → AUTH OK
[03:36:41] ✅ 19528 → AUTH OK
[03:36:41] ✅ 6044 → AUTH OK
[03:36:41] ✅ 32194 → AUTH OK
[03:36:41] ✅ 4028 → AUTH OK
[03:36:41] ✅ 14694 → AUTH OK
[03:36:41] ✅ 4008 → AUTH OK
[03:36:41] ✅ 1067946 → AUTH OK
[03:36:41] ✅ 7534 → AUTH OK
[03:36:41] ✅ 14702 → AUTH OK
[03:36:41] ✅ 25860 → AUTH OK
[03:36:41] ✅ 58633 → AUTH OK
[03:36:41] ✅ 4067 → AUTH OK
[03:36:41] ✅ 9135 → AUTH OK
[03:36:41] ✅ 6057 → AUTH OK
[03:36:41] ✅ 43348 → AUTH OK
[03:36:41] ✅ 1091219 → AUTH OK
[03:36:41] ✅ 1092958 → AUTH OK
[03:36:41] ✅ 1019166 → AUTH OK
[03:36:41] ✅ 1018798 → AUTH OK
[03:36:41] ✅ 1005799 → AUTH OK
[03:36:41] ✅ 1050645 → AUTH OK
[03:36:41] ✅ 10250 → AUTH OK
[03:36:41] ✅ 1005798 → AUTH OK
[03:36:41] ✅ 1037530 → AUTH OK
[03:36:41] ✅ 1089067 → AUTH OK
[03:36:41] ✅ 1034375 → AUTH OK
[03:36:41] ✅ 1025291 → AUTH OK
[03:36:41] ✅ 1015289 → AUTH OK
[03:36:41] ✅ 4608 → AUTH OK
[03:36:41] ✅ 1020333 → AUTH OK
[03:36:41] ✅ 1058533 → AUTH OK
[03:36:41] ✅ 1041725 → AUTH OK
[03:36:41] ✅ 27150 → AUTH OK
[03:36:41] ✅ 1058794 → AUTH OK
[03:36:41] ✅ 1044095 → AUTH OK
[03:36:41] ✅ 1023626 → AUTH OK
[03:36:41] ✅ 1034383 → AUTH OK
[03:36:41] ✅ 1033632 → AUTH OK
[03:36:41] ✅ 1019593 → AUTH OK
[03:36:41] ✅ 1039768 → AUTH OK
[03:36:41] ✅ 1015291 → AUTH OK
[03:36:41] ✅ 27716 → AUTH OK
[03:36:42] ✅ 1013208 → AUTH OK
[03:36:42] ✅ 27715 → AUTH OK
[03:36:42] ✅ 1039751 → AUTH OK
[03:36:42] ✅ 4042 → AUTH OK
[03:36:42] ✅ 1034186 → AUTH OK
[03:36:42] ✅ 7747 → AUTH OK
[03:36:42] ✅ 1034254 → AUTH OK
[03:36:42] ✅ 496 → AUTH OK
[03:36:42] ✅ 1063761 → AUTH OK
[03:36:42] ✅ 44966 → AUTH OK
[03:36:42] ✅ 1088790 → AUTH OK
[03:36:42] ✅ 4306 → AUTH OK
[03:36:42] ✅ 24351 → AUTH OK
[03:36:42] ✅ 24929 → AUTH OK
[03:36:42] ✅ 1020288 → AUTH OK
[03:36:42] ✅ 28214 → AUTH OK
[03:36:42] ✅ 1016986 → AUTH OK
[03:36:42] ✅ 1037520 → AUTH OK
[03:36:42] ✅ 4217 → AUTH OK
[03:36:42] ✅ 1037142 → AUTH OK
[03:36:42] ✅ 9373 → AUTH OK
[03:36:42] ✅ 1088803 → AUTH OK
[03:36:42] ✅ 1083399 → AUTH OK
[03:36:42] ✅ 1039424 → AUTH OK
[03:36:42] ✅ 7752 → AUTH OK
[03:36:42] ✅ 1053939 → AUTH OK
[03:36:42] ✅ 52996 → AUTH OK
[03:36:42] ✅ 31987 → AUTH OK
[03:36:42] ✅ 1067686 → AUTH OK
[03:36:42] ✅ 1015795 → AUTH OK
[03:36:42] ✅ 7222 → AUTH OK
[03:36:42] ✅ 16791 → AUTH OK
[03:36:42] ✅ 1041692 → AUTH OK
[03:36:42] ✅ 26401 → AUTH OK
[03:36:42] ✅ 509 → AUTH OK
[03:36:42] ✅ 15527 → AUTH OK
[03:36:42] ✅ 1036961 → AUTH OK
[03:36:42] ✅ 1020190 → AUTH OK
[03:36:42] ✅ 1063452 → AUTH OK
[03:36:42] ✅ 4332 → AUTH OK
[03:36:42] ✅ 1003802 → AUTH OK
[03:36:42] ✅ 6093 → AUTH OK
[03:36:42] ✅ 9420 → AUTH OK
[03:36:42] ✅ 22305 → AUTH OK
[03:36:42] ✅ 44366 → AUTH OK
[03:36:42] ✅ 5041 → AUTH OK
[03:36:42] ✅ 30524 → AUTH OK
[03:36:42] ✅ 1003773 → AUTH OK
[03:36:42] ✅ 1008409 → AUTH OK
[03:36:43] ✅ 1030422 → AUTH OK
[03:36:43] ✅ 1065451 → AUTH OK
[03:36:43] ✅ 1008335 → AUTH OK
[03:36:43] ✅ 25938 → AUTH OK
[03:36:43] ✅ 1005991 → AUTH OK
[03:36:43] ✅ 1041753 → AUTH OK
[03:36:43] ✅ 522 → AUTH OK
[03:36:43] ✅ 32294 → AUTH OK
[03:36:43] ✅ 4902 → AUTH OK
[03:36:43] ✅ 4739 → AUTH OK
[03:36:43] ✅ 26230 → AUTH OK
[03:36:43] ✅ 1039877 → AUTH OK
[03:36:43] ✅ 1039842 → AUTH OK
[03:36:43] ✅ 9413 → AUTH OK
[03:36:43] ✅ 9411 → AUTH OK
[03:36:43] ✅ 1040228 → AUTH OK
[03:36:43] ✅ 62637 → AUTH OK
[03:36:43] ✅ 26676 → AUTH OK
[03:36:43] ✅ 4107 → AUTH OK
[03:36:43] ✅ 1021922 → AUTH OK
[03:36:43] ✅ 25011 → AUTH OK
[03:36:43] ✅ 25808 → AUTH OK
[03:36:43] ✅ 9424 → AUTH OK
[03:36:43] ✅ 1040731 → AUTH OK
[03:36:43] ✅ 1005804 → AUTH OK
[03:36:43] ✅ 36879 → AUTH OK
[03:36:43] ✅ 9350 → AUTH OK
[03:36:43] ✅ 1039272 → AUTH OK
[03:36:43] ✅ 1037345 → AUTH OK
[03:36:43] ✅ 1037532 → AUTH OK
[03:36:43] ✅ 14166 → AUTH OK
[03:36:43] ✅ 1041505 → AUTH OK
[03:36:43] ✅ 1012189 → AUTH OK
[03:36:43] ✅ 4036 → AUTH OK
[03:36:43] ✅ 9551 → AUTH OK
[03:36:43] ✅ 9474 → AUTH OK
[03:36:43] ✅ 1005797 → AUTH OK
[03:36:43] ✅ 1034324 → AUTH OK
[03:36:43] ✅ 4733 → AUTH OK
[03:36:43] ✅ 1008404 → AUTH OK
[03:36:43] ✅ 9491 → AUTH OK
[03:36:43] ✅ 7350 → AUTH OK
[03:36:43] ✅ 1042439 → AUTH OK
[03:36:43] ✅ 1071622 → AUTH OK
[03:36:43] ✅ 4045 → AUTH OK
[03:36:43] ✅ 4272 → AUTH OK
[03:36:43] ✅ 1012081 → AUTH OK
[03:36:43] ✅ 1037506 → AUTH OK
[03:36:44] ✅ 14669 → AUTH OK
[03:36:44] ✅ 1025740 → AUTH OK
[03:36:44] ✅ 1031296 → AUTH OK
[03:36:44] ✅ 5058 → AUTH OK
[03:36:44] ✅ 1027903 → AUTH OK
[03:36:44] ✅ 18823 → AUTH OK
[03:36:44] ✅ 4725 → AUTH OK
[03:36:44] ✅ 1037523 → AUTH OK
[03:36:44] ✅ 1014990 → AUTH OK
[03:36:44] ✅ 9132 → AUTH OK
[03:36:44] ✅ 26640 → AUTH OK
[03:36:44] ✅ 4715 → AUTH OK
[03:36:44] ✅ 1065987 → AUTH OK
[03:36:44] ✅ 1052503 → AUTH OK
[03:36:44] ✅ 1015442 → AUTH OK
[03:36:44] ✅ 1064038 → AUTH OK
[03:36:44] ✅ 4050 → AUTH OK
[03:36:44] ✅ 42945 → AUTH OK
[03:36:44] ✅ 1036772 → AUTH OK
[03:36:44] ✅ 1015840 → AUTH OK
[03:36:44] ✅ 1016381 → AUTH OK
[03:36:44] ✅ 1041473 → AUTH OK
[03:36:44] ✅ 7137 → AUTH OK
[03:36:44] ✅ 1037514 → AUTH OK
[03:36:44] ✅ 46485 → AUTH OK
[03:36:44] ✅ 1041496 → AUTH OK
[03:36:44] ✅ 51499 → AUTH OK
[03:36:44] ✅ 27219 → AUTH OK
[03:36:44] ✅ 18460 → AUTH OK
[03:36:44] ✅ 7679 → AUTH OK
[03:36:44] ✅ 1020453 → AUTH OK
[03:36:44] ✅ 16522 → AUTH OK
[03:36:44] ✅ 4051 → AUTH OK
[03:36:44] ✅ 7618 → AUTH OK
[03:36:44] ✅ 1020547 → AUTH OK
[03:36:44] ✅ 5145 → AUTH OK
[03:36:44] ✅ 1037510 → AUTH OK
[03:36:44] ✅ 1041458 → AUTH OK
[03:36:44] ✅ 9136 → AUTH OK
[03:36:44] ✅ 1041393 → AUTH OK
[03:36:44] ✅ 1041242 → AUTH OK
[03:36:44] ✅ 1075745 → AUTH OK
[03:36:44] ✅ 1084553 → AUTH OK
[03:36:44] ✅ 1015286 → AUTH OK
[03:36:44] ✅ 9384 → AUTH OK
[03:36:44] ✅ 3965 → AUTH OK
[03:36:44] ✅ 1032461 → AUTH OK
[03:36:44] ✅ 1037531 → AUTH OK
[03:36:45] ✅ 9174 → AUTH OK
[03:36:45] ✅ 25571 → AUTH OK
[03:36:45] ✅ 1039840 → AUTH OK
[03:36:45] ✅ 1032460 → AUTH OK
[03:36:45] ✅ 55466 → AUTH OK
[03:36:45] ✅ 9194 → AUTH OK
[03:36:45] ✅ 26281 → AUTH OK
[03:36:45] ✅ 25045 → AUTH OK
[03:36:45] ✅ 1016383 → AUTH OK
[03:36:45] ✅ 30784 → AUTH OK
[03:36:45] ✅ 7232 → AUTH OK
[03:36:45] ✅ 1003767 → AUTH OK
[03:36:45] ✅ 55853 → AUTH OK
[03:36:45] ✅ 9246 → AUTH OK
[03:36:45] ✅ 1037503 → AUTH OK
[03:36:45] ✅ 1037491 → AUTH OK
[03:36:45] ✅ 1029684 → AUTH OK
[03:36:45] ✅ 25181 → AUTH OK
[03:36:45] ✅ 1007282 → AUTH OK
[03:36:45] ✅ 1037527 → AUTH OK
[03:36:45] ✅ 1041239 → AUTH OK
[03:36:45] ✅ 19513 → AUTH OK
[03:36:45] ✅ 5182 → AUTH OK
[03:36:45] ✅ 18164 → AUTH OK
[03:36:45] ✅ 1015975 → AUTH OK
[03:36:45] ✅ 3896 → AUTH OK
[03:36:45] ✅ 1035744 → AUTH OK
[03:36:45] ✅ 9285 → AUTH OK
[03:36:45] ✅ 62250 → AUTH OK
[03:36:45] ✅ 1037516 → AUTH OK
[03:36:45] ✅ 1037521 → AUTH OK
[03:36:45] ✅ 1037517 → AUTH OK
[03:36:45] ✅ 1042605 → AUTH OK
[03:36:45] ✅ 1032901 → AUTH OK
[03:36:45] ✅ 1041804 → AUTH OK
[03:36:45] ✅ 1012280 → AUTH OK
[03:36:45] ✅ 1040181 → AUTH OK
[03:36:45] ✅ 5220 → AUTH OK
[03:36:45] ✅ 1088811 → AUTH OK
[03:36:45] ✅ 7293 → AUTH OK
[03:36:45] ✅ 1041199 → AUTH OK
[03:36:45] ✅ 4889 → AUTH OK
[03:36:45] ✅ 14354 → AUTH OK
[03:36:45] ✅ 16523 → AUTH OK
[03:36:45] ✅ 1020338 → AUTH OK
[03:36:46] ✅ 1047917 → AUTH OK
[03:36:46] ✅ 1056892 → AUTH OK
[03:36:46] ✅ 1061843 → AUTH OK
[03:36:46] ✅ 4919 → AUTH OK
[03:36:46] ✅ 6119 → AUTH OK
[03:36:46] ✅ 4780 → AUTH OK
[03:36:46] ✅ 1041683 → AUTH OK
[03:36:46] ✅ 5150 → AUTH OK
[03:36:46] ✅ 1052727 → AUTH OK
[03:36:46] ✅ 1036383 → AUTH OK
[03:36:46] ✅ 1050804 → AUTH OK
[03:36:46] ✅ 1084822 → AUTH OK
[03:36:46] ✅ 4910 → AUTH OK
[03:36:46] ✅ 9784 → AUTH OK
[03:36:46] ✅ 29954 → AUTH OK
[03:36:46] ✅ 9661 → AUTH OK
[03:36:46] ✅ 1033177 → AUTH OK
[03:36:46] ✅ 17483 → AUTH OK
[03:36:46] ✅ 7537 → AUTH OK
[03:36:46] ✅ 28235 → AUTH OK
[03:36:46] ✅ 25281 → AUTH OK
[03:36:46] ✅ 1018468 → AUTH OK
[03:36:46] ✅ 1041732 → AUTH OK
[03:36:46] ✅ 7826 → AUTH OK
[03:36:46] ✅ 1030383 → AUTH OK
[03:36:46] ✅ 27725 → AUTH OK
