[00:17:14] 📍 Loaded 754 district venues
[00:17:17] ✅ 1102277 → AUTH OK
[00:17:17] ✅ 1102080 → AUTH OK
[00:17:17] ✅ 1101388 → AUTH OK
[00:17:17] ✅ 1102106 → AUTH OK
[00:17:17] ✅ 1102137 → AUTH OK
[00:17:17] ✅ 1101368 → AUTH OK
[00:17:17] ✅ 1042102 → AUTH OK
[00:17:17] ✅ 1102068 → AUTH OK
[00:17:17] ✅ 1102285 → AUTH OK
[00:17:17] ✅ 1102253 → AUTH OK
[00:17:17] ✅ 1053154 → AUTH OK
[00:17:17] ✅ 1039880 → AUTH OK
[00:17:17] ✅ 1102125 → AUTH OK
[00:17:17] ✅ 1102120 → AUTH OK
[00:17:17] ✅ 4132 → AUTH OK
[00:17:17] ✅ 1102147 → AUTH OK
[00:17:17] ✅ 1080585 → AUTH OK
[00:17:17] ✅ 1102168 → AUTH OK
[00:17:17] ✅ 1101217 → AUTH OK
[00:17:17] ✅ 1100831 → AUTH OK
[00:17:17] ✅ 1102258 → AUTH OK
[00:17:17] ✅ 1078001 → AUTH OK
[00:17:17] ✅ 1102067 → AUTH OK
[00:17:17] ✅ 1078022 → AUTH OK
[00:17:17] ✅ 1101219 → AUTH OK
[00:17:17] ✅ 20834 → AUTH OK
[00:17:17] ✅ 1102134 → AUTH OK
[00:17:17] ✅ 1691 → AUTH OK
[00:17:17] ✅ 1102284 → AUTH OK
[00:17:17] ✅ 1041689 → AUTH OK
[00:17:17] ✅ 1102069 → AUTH OK
[00:17:17] ✅ 5172 → AUTH OK
[00:17:17] ✅ 1102236 → AUTH OK
[00:17:17] ✅ 1037501 → AUTH OK
[00:17:17] ✅ 1102281 → AUTH OK
[00:17:17] ✅ 1102124 → AUTH OK
[00:17:17] ✅ 4911 → AUTH OK
[00:17:17] ✅ 1102078 → AUTH OK
[00:17:17] ✅ 1102276 → AUTH OK
[00:17:17] ✅ 1101452 → AUTH OK
[00:17:17] ✅ 1102275 → AUTH OK
[00:17:17] ✅ 1094757 → AUTH OK
[00:17:17] ✅ 43628 → AUTH OK
[00:17:17] ✅ 1102294 → AUTH OK
[00:17:17] ✅ 1102104 → AUTH OK
[00:17:17] ✅ 5100 → AUTH OK
[00:17:17] ✅ 1011900 → AUTH OK
[00:17:17] ✅ 27047 → AUTH OK
[00:17:17] ✅ 1020826 → AUTH OK
[00:17:18] ✅ 14697 → AUTH OK
[00:17:18] ✅ 1014604 → AUTH OK
[00:17:18] ✅ 1095009 → AUTH OK
[00:17:18] ✅ 1052124 → AUTH OK
[00:17:18] ✅ 1101222 → AUTH OK
[00:17:18] ✅ 4175 → AUTH OK
[00:17:18] ✅ 1102135 → AUTH OK
[00:17:18] ✅ 1054725 → AUTH OK
[00:17:18] ✅ 1102228 → AUTH OK
[00:17:18] ✅ 1092638 → AUTH OK
[00:17:18] ✅ 1027478 → AUTH OK
[00:17:18] ✅ 1088548 → AUTH OK
[00:17:18] ✅ 1101523 → AUTH OK
[00:17:18] ✅ 1102239 → AUTH OK
[00:17:18] ✅ 1088547 → AUTH OK
[00:17:18] ✅ 1094680 → AUTH OK
[00:17:18] ✅ 1092639 → AUTH OK
[00:17:18] ✅ 1102075 → AUTH OK
[00:17:18] ✅ 27908 → AUTH OK
[00:17:18] ✅ 13772 → AUTH OK
[00:17:18] ✅ 1054741 → AUTH OK
[00:17:18] ✅ 1039949 → AUTH OK
[00:17:18] ✅ 16605 → AUTH OK
[00:17:18] ✅ 1101449 → AUTH OK
[00:17:18] ✅ 1102121 → AUTH OK
[00:17:18] ✅ 11272 → AUTH OK
[00:17:18] ✅ 1102107 → AUTH OK
[00:17:18] ✅ 1102227 → AUTH OK
[00:17:18] ✅ 1031592 → AUTH OK
[00:17:18] ✅ 1102108 → AUTH OK
[00:17:18] ✅ 14699 → AUTH OK
[00:17:18] ✅ 4918 → AUTH OK
[00:17:18] ✅ 7686 → AUTH OK
[00:17:18] ✅ 1102126 → AUTH OK
[00:17:18] ✅ 29761 → AUTH OK
[00:17:18] ✅ 1102133 → AUTH OK
[00:17:18] ✅ 1037507 → AUTH OK
[00:17:18] ✅ 3943 → AUTH OK
[00:17:18] ✅ 6081 → AUTH OK
[00:17:18] ✅ 1042632 → AUTH OK
[00:17:18] ✅ 1102122 → AUTH OK
[00:17:18] ✅ 1101384 → AUTH OK
[00:17:18] ✅ 1102116 → AUTH OK
[00:17:18] ✅ 1037033 → AUTH OK
[00:17:18] ✅ 1078025 → AUTH OK
[00:17:18] ✅ 4184 → AUTH OK
[00:17:18] ✅ 1041688 → AUTH OK
[00:17:18] ✅ 1037496 → AUTH OK
[00:17:19] ✅ 1042465 → AUTH OK
[00:17:19] ✅ 1044503 → AUTH OK
[00:17:19] ✅ 1049243 → AUTH OK
[00:17:19] ✅ 1051040 → AUTH OK
[00:17:19] ✅ 11264 → AUTH OK
[00:17:19] ✅ 29998 → AUTH OK
[00:17:19] ✅ 50915 → AUTH OK
[00:17:19] ✅ 1074151 → AUTH OK
[00:17:19] ✅ 1102099 → AUTH OK
[00:17:19] ✅ 1030389 → AUTH OK
[00:17:19] ✅ 1060262 → AUTH OK
[00:17:19] ✅ 1065383 → AUTH OK
[00:17:19] ✅ 1040891 → AUTH OK
[00:17:19] ✅ 1093265 → AUTH OK
[00:17:19] ✅ 1024804 → AUTH OK
[00:17:19] ✅ 1008705 → AUTH OK
[00:17:19] ✅ 1039878 → AUTH OK
[00:17:19] ✅ 7714 → AUTH OK
[00:17:19] ✅ 1094334 → AUTH OK
[00:17:19] ✅ 1031638 → AUTH OK
[00:17:19] ✅ 1039847 → AUTH OK
[00:17:19] ✅ 1037228 → AUTH OK
[00:17:19] ✅ 1076602 → AUTH OK
[00:17:19] ✅ 1039860 → AUTH OK
[00:17:19] ✅ 1009194 → AUTH OK
[00:17:19] ✅ 1041672 → AUTH OK
[00:17:19] ✅ 1031636 → AUTH OK
[00:17:19] ✅ 1047659 → AUTH OK
[00:17:19] ✅ 1039846 → AUTH OK
[00:17:19] ✅ 1039875 → AUTH OK
[00:17:19] ✅ 1041687 → AUTH OK
[00:17:19] ✅ 28206 → AUTH OK
[00:17:19] ✅ 1024343 → AUTH OK
[00:17:19] ✅ 4106 → AUTH OK
[00:17:19] ✅ 1096733 → AUTH OK
[00:17:19] ✅ 1039862 → AUTH OK
[00:17:19] ✅ 9292 → AUTH OK
[00:17:19] ✅ 2855 → AUTH OK
[00:17:19] ✅ 25805 → AUTH OK
[00:17:19] ✅ 1039864 → AUTH OK
[00:17:19] ✅ 1036959 → AUTH OK
[00:17:19] ✅ 7258 → AUTH OK
[00:17:19] ✅ 1001773 → AUTH OK
[00:17:19] ✅ 1039850 → AUTH OK
[00:17:19] ✅ 1088822 → AUTH OK
[00:17:19] ✅ 1089130 → AUTH OK
[00:17:19] ✅ 1097120 → AUTH OK
[00:17:19] ✅ 1041685 → AUTH OK
[00:17:19] ✅ 1040466 → AUTH OK
[00:17:19] ✅ 9242 → AUTH OK
[00:17:19] ✅ 1039865 → AUTH OK
[00:17:20] ✅ 44361 → AUTH OK
[00:17:20] ✅ 9365 → AUTH OK
[00:17:20] ✅ 1039849 → AUTH OK
[00:17:20] ✅ 27151 → AUTH OK
[00:17:20] ✅ 1041244 → AUTH OK
[00:17:20] ✅ 25803 → AUTH OK
[00:17:20] ✅ 36376 → AUTH OK
[00:17:20] ✅ 1046654 → AUTH OK
[00:17:20] ✅ 4693 → AUTH OK
[00:17:20] ✅ 7543 → AUTH OK
[00:17:20] ✅ 1039851 → AUTH OK
[00:17:20] ✅ 1041449 → AUTH OK
[00:17:20] ✅ 1098929 → AUTH OK
[00:17:20] ✅ 13958 → AUTH OK
[00:17:20] ✅ 7813 → AUTH OK
[00:17:20] ✅ 1039848 → AUTH OK
[00:17:20] ✅ 56048 → AUTH OK
[00:17:20] ✅ 9920 → AUTH OK
[00:17:20] ✅ 14120 → AUTH OK
[00:17:20] ✅ 7841 → AUTH OK
[00:17:20] ✅ 1018795 → AUTH OK
[00:17:20] ✅ 4097 → AUTH OK
[00:17:20] ✅ 1056572 → AUTH OK
[00:17:20] ✅ 4380 → AUTH OK
[00:17:20] ✅ 1016089 → AUTH OK
[00:17:20] ✅ 28968 → AUTH OK
[00:17:20] ✅ 1080239 → AUTH OK
[00:17:20] ✅ 1022965 → AUTH OK
[00:17:20] ✅ 1018799 → AUTH OK
[00:17:20] ✅ 1041394 → AUTH OK
[00:17:20] ✅ 55733 → AUTH OK
[00:17:20] ✅ 27373 → AUTH OK
[00:17:20] ✅ 1030438 → AUTH OK
[00:17:20] ✅ 1075746 → AUTH OK
[00:17:20] ✅ 4189 → AUTH OK
[00:17:20] ✅ 4171 → AUTH OK
[00:17:20] ✅ 4178 → AUTH OK
[00:17:20] ✅ 60085 → AUTH OK
[00:17:20] ✅ 1008456 → AUTH OK
[00:17:20] ✅ 1053400 → AUTH OK
[00:17:20] ✅ 60083 → AUTH OK
[00:17:20] ✅ 24521 → AUTH OK
[00:17:20] ✅ 1037518 → AUTH OK
[00:17:20] ✅ 1037525 → AUTH OK
[00:17:20] ✅ 1008418 → AUTH OK
[00:17:20] ✅ 1016053 → AUTH OK
[00:17:20] ✅ 17069 → AUTH OK
[00:17:20] ✅ 7301 → AUTH OK
[00:17:20] ✅ 1018652 → AUTH OK
[00:17:20] ✅ 9487 → AUTH OK
[00:17:20] ✅ 25804 → AUTH OK
[00:17:20] ✅ 1041728 → AUTH OK
[00:17:20] ✅ 1037961 → AUTH OK
[00:17:20] ✅ 10940 → AUTH OK
[00:17:21] ✅ 1016133 → AUTH OK
[00:17:21] ✅ 1050791 → AUTH OK
[00:17:21] ✅ 55272 → AUTH OK
[00:17:21] ✅ 1016088 → AUTH OK
[00:17:21] ✅ 1053618 → AUTH OK
[00:17:21] ✅ 1049666 → AUTH OK
[00:17:21] ✅ 1042615 → AUTH OK
[00:17:21] ✅ 1042640 → AUTH OK
[00:17:21] ✅ 5059 → AUTH OK
[00:17:21] ✅ 1036962 → AUTH OK
[00:17:21] ✅ 1011174 → AUTH OK
[00:17:21] ✅ 1042635 → AUTH OK
[00:17:21] ✅ 1041743 → AUTH OK
[00:17:21] ✅ 1007054 → AUTH OK
[00:17:21] ✅ 1037511 → AUTH OK
[00:17:21] ✅ 4891 → AUTH OK
[00:17:21] ✅ 28925 → AUTH OK
[00:17:21] ✅ 1037502 → AUTH OK
[00:17:21] ✅ 3960 → AUTH OK
[00:17:21] ✅ 4232 → AUTH OK
[00:17:21] ✅ 1030504 → AUTH OK
[00:17:21] ✅ 1041504 → AUTH OK
[00:17:21] ✅ 1042453 → AUTH OK
[00:17:21] ✅ 14702 → AUTH OK
[00:17:21] ✅ 3910 → AUTH OK
[00:17:21] ✅ 4248 → AUTH OK
[00:17:21] ✅ 6044 → AUTH OK
[00:17:21] ✅ 1037526 → AUTH OK
[00:17:21] ✅ 19528 → AUTH OK
[00:17:21] ✅ 3981 → AUTH OK
[00:17:21] ✅ 22684 → AUTH OK
[00:17:21] ✅ 1012595 → AUTH OK
[00:17:21] ✅ 4028 → AUTH OK
[00:17:21] ✅ 32194 → AUTH OK
[00:17:21] ✅ 14694 → AUTH OK
[00:17:21] ✅ 7881 → AUTH OK
[00:17:21] ✅ 1067946 → AUTH OK
[00:17:21] ✅ 4008 → AUTH OK
[00:17:21] ✅ 4067 → AUTH OK
[00:17:21] ✅ 58633 → AUTH OK
[00:17:21] ✅ 9135 → AUTH OK
[00:17:21] ✅ 25860 → AUTH OK
[00:17:21] ✅ 6057 → AUTH OK
[00:17:21] ✅ 43348 → AUTH OK
[00:17:21] ✅ 1091219 → AUTH OK
[00:17:21] ✅ 10250 → AUTH OK
[00:17:21] ✅ 1092958 → AUTH OK
[00:17:21] ✅ 1050645 → AUTH OK
[00:17:21] ✅ 1018798 → AUTH OK
[00:17:21] ✅ 1005799 → AUTH OK
[00:17:21] ✅ 1019166 → AUTH OK
[00:17:22] ✅ 7534 → AUTH OK
[00:17:22] ✅ 1005798 → AUTH OK
[00:17:22] ✅ 1089067 → AUTH OK
[00:17:22] ✅ 1037530 → AUTH OK
[00:17:22] ✅ 1034375 → AUTH OK
[00:17:22] ✅ 1020333 → AUTH OK
[00:17:22] ✅ 1025291 → AUTH OK
[00:17:22] ✅ 4608 → AUTH OK
[00:17:22] ✅ 1034383 → AUTH OK
[00:17:22] ✅ 1015289 → AUTH OK
[00:17:22] ✅ 1058533 → AUTH OK
[00:17:22] ✅ 1041725 → AUTH OK
[00:17:22] ✅ 1044095 → AUTH OK
[00:17:22] ✅ 1058794 → AUTH OK
[00:17:22] ✅ 1023626 → AUTH OK
[00:17:22] ✅ 1033632 → AUTH OK
[00:17:22] ✅ 1034254 → AUTH OK
[00:17:22] ✅ 1015291 → AUTH OK
[00:17:22] ✅ 1034186 → AUTH OK
[00:17:22] ✅ 27150 → AUTH OK
[00:17:22] ✅ 1039768 → AUTH OK
[00:17:22] ✅ 1019593 → AUTH OK
[00:17:22] ✅ 27715 → AUTH OK
[00:17:22] ✅ 1039751 → AUTH OK
[00:17:22] ✅ 1013208 → AUTH OK
[00:17:22] ✅ 27716 → AUTH OK
[00:17:22] ✅ 44966 → AUTH OK
[00:17:22] ✅ 496 → AUTH OK
[00:17:22] ✅ 7747 → AUTH OK
[00:17:22] ✅ 4042 → AUTH OK
[00:17:22] ✅ 24929 → AUTH OK
[00:17:22] ✅ 4306 → AUTH OK
[00:17:22] ✅ 28214 → AUTH OK
[00:17:22] ✅ 1020288 → AUTH OK
[00:17:22] ✅ 1083399 → AUTH OK
[00:17:22] ✅ 24351 → AUTH OK
[00:17:22] ✅ 4217 → AUTH OK
[00:17:22] ✅ 1088790 → AUTH OK
[00:17:22] ✅ 1037520 → AUTH OK
[00:17:22] ✅ 1088803 → AUTH OK
[00:17:22] ✅ 1016986 → AUTH OK
[00:17:22] ✅ 1063761 → AUTH OK
[00:17:22] ✅ 1037142 → AUTH OK
[00:17:22] ✅ 9373 → AUTH OK
[00:17:22] ✅ 1039424 → AUTH OK
[00:17:22] ✅ 52996 → AUTH OK
[00:17:22] ✅ 7752 → AUTH OK
[00:17:22] ✅ 1053939 → AUTH OK
[00:17:23] ✅ 31987 → AUTH OK
[00:17:23] ✅ 1067686 → AUTH OK
[00:17:23] ✅ 1036961 → AUTH OK
[00:17:23] ✅ 1015795 → AUTH OK
[00:17:23] ✅ 15527 → AUTH OK
[00:17:23] ✅ 26401 → AUTH OK
[00:17:23] ✅ 509 → AUTH OK
[00:17:23] ✅ 1020190 → AUTH OK
[00:17:23] ✅ 16791 → AUTH OK
[00:17:23] ✅ 7222 → AUTH OK
[00:17:23] ✅ 44366 → AUTH OK
[00:17:23] ✅ 1063452 → AUTH OK
[00:17:23] ✅ 6093 → AUTH OK
[00:17:23] ✅ 1003802 → AUTH OK
[00:17:23] ✅ 1041692 → AUTH OK
[00:17:23] ✅ 22305 → AUTH OK
[00:17:23] ✅ 9420 → AUTH OK
[00:17:23] ✅ 4332 → AUTH OK
[00:17:23] ✅ 1003773 → AUTH OK
[00:17:23] ✅ 1030422 → AUTH OK
[00:17:23] ✅ 5041 → AUTH OK
[00:17:23] ✅ 30524 → AUTH OK
[00:17:23] ✅ 1008409 → AUTH OK
[00:17:23] ✅ 1005991 → AUTH OK
[00:17:23] ✅ 1065451 → AUTH OK
[00:17:23] ✅ 25938 → AUTH OK
[00:17:23] ✅ 32294 → AUTH OK
[00:17:23] ✅ 522 → AUTH OK
[00:17:23] ✅ 1041753 → AUTH OK
[00:17:23] ✅ 1008335 → AUTH OK
[00:17:23] ✅ 4902 → AUTH OK
[00:17:23] ✅ 26230 → AUTH OK
[00:17:23] ✅ 4739 → AUTH OK
[00:17:23] ✅ 9411 → AUTH OK
[00:17:23] ✅ 9413 → AUTH OK
[00:17:23] ✅ 1039877 → AUTH OK
[00:17:23] ✅ 26676 → AUTH OK
[00:17:23] ✅ 1040228 → AUTH OK
[00:17:23] ✅ 62637 → AUTH OK
[00:17:23] ✅ 25808 → AUTH OK
[00:17:23] ✅ 4107 → AUTH OK
[00:17:23] ✅ 1021922 → AUTH OK
[00:17:23] ✅ 25011 → AUTH OK
[00:17:23] ✅ 1039842 → AUTH OK
[00:17:23] ✅ 1005804 → AUTH OK
[00:17:23] ✅ 1012189 → AUTH OK
[00:17:23] ✅ 1037345 → AUTH OK
[00:17:23] ✅ 1037532 → AUTH OK
[00:17:23] ✅ 1040731 → AUTH OK
[00:17:23] ✅ 9424 → AUTH OK
[00:17:23] ✅ 9350 → AUTH OK
[00:17:23] ✅ 1039272 → AUTH OK
[00:17:23] ✅ 14166 → AUTH OK
[00:17:23] ✅ 1041505 → AUTH OK
[00:17:23] ✅ 36879 → AUTH OK
[00:17:23] ✅ 9551 → AUTH OK
[00:17:24] ✅ 4036 → AUTH OK
[00:17:24] ✅ 1034324 → AUTH OK
[00:17:24] ✅ 9491 → AUTH OK
[00:17:24] ✅ 9474 → AUTH OK
[00:17:24] ✅ 1008404 → AUTH OK
[00:17:24] ✅ 1037506 → AUTH OK
[00:17:24] ✅ 1005797 → AUTH OK
[00:17:24] ✅ 1031296 → AUTH OK
[00:17:24] ✅ 4045 → AUTH OK
[00:17:24] ✅ 1042439 → AUTH OK
[00:17:24] ✅ 1012081 → AUTH OK
[00:17:24] ✅ 4272 → AUTH OK
[00:17:24] ✅ 4733 → AUTH OK
[00:17:24] ✅ 1071622 → AUTH OK
[00:17:24] ✅ 18823 → AUTH OK
[00:17:24] ✅ 14669 → AUTH OK
[00:17:24] ✅ 7350 → AUTH OK
[00:17:24] ✅ 1025740 → AUTH OK
[00:17:24] ✅ 5058 → AUTH OK
[00:17:24] ✅ 1027903 → AUTH OK
[00:17:24] ✅ 4725 → AUTH OK
[00:17:24] ✅ 4715 → AUTH OK
[00:17:24] ✅ 1014990 → AUTH OK
[00:17:24] ✅ 1037523 → AUTH OK
[00:17:24] ✅ 42945 → AUTH OK
[00:17:24] ✅ 9132 → AUTH OK
[00:17:24] ✅ 26640 → AUTH OK
[00:17:24] ✅ 1064038 → AUTH OK
[00:17:24] ✅ 46485 → AUTH OK
[00:17:24] ✅ 1015840 → AUTH OK
[00:17:24] ✅ 4050 → AUTH OK
[00:17:24] ✅ 1041496 → AUTH OK
[00:17:24] ✅ 1052503 → AUTH OK
[00:17:24] ✅ 1036772 → AUTH OK
[00:17:24] ✅ 1015442 → AUTH OK
[00:17:24] ✅ 7137 → AUTH OK
[00:17:24] ✅ 1016381 → AUTH OK
[00:17:24] ✅ 1041473 → AUTH OK
[00:17:24] ✅ 1037514 → AUTH OK
[00:17:24] ✅ 1065987 → AUTH OK
[00:17:24] ✅ 27219 → AUTH OK
[00:17:24] ✅ 7618 → AUTH OK
[00:17:24] ✅ 51499 → AUTH OK
[00:17:24] ✅ 1020453 → AUTH OK
[00:17:24] ✅ 4051 → AUTH OK
[00:17:24] ✅ 7679 → AUTH OK
[00:17:24] ✅ 16522 → AUTH OK
[00:17:24] ✅ 1020547 → AUTH OK
[00:17:24] ✅ 9136 → AUTH OK
[00:17:24] ✅ 1037510 → AUTH OK
[00:17:24] ✅ 18460 → AUTH OK
[00:17:24] ✅ 1041458 → AUTH OK
[00:17:24] ✅ 1084553 → AUTH OK
[00:17:24] ✅ 5145 → AUTH OK
[00:17:25] ✅ 1075745 → AUTH OK
[00:17:25] ✅ 1037531 → AUTH OK
[00:17:25] ✅ 1015286 → AUTH OK
[00:17:25] ✅ 1041242 → AUTH OK
[00:17:25] ✅ 1041393 → AUTH OK
[00:17:25] ✅ 3965 → AUTH OK
[00:17:25] ✅ 9384 → AUTH OK
[00:17:25] ✅ 25571 → AUTH OK
[00:17:25] ✅ 1032461 → AUTH OK
[00:17:25] ✅ 1039840 → AUTH OK
[00:17:25] ✅ 1032460 → AUTH OK
[00:17:25] ✅ 55466 → AUTH OK
[00:17:25] ✅ 26281 → AUTH OK
[00:17:25] ✅ 25045 → AUTH OK
[00:17:25] ✅ 9174 → AUTH OK
[00:17:25] ✅ 9194 → AUTH OK
[00:17:25] ✅ 7232 → AUTH OK
[00:17:25] ✅ 30784 → AUTH OK
[00:17:25] ✅ 1037527 → AUTH OK
[00:17:25] ✅ 1016383 → AUTH OK
[00:17:25] ✅ 1037491 → AUTH OK
[00:17:25] ✅ 1037503 → AUTH OK
[00:17:25] ✅ 55853 → AUTH OK
[00:17:25] ✅ 9246 → AUTH OK
[00:17:25] ✅ 1003767 → AUTH OK
[00:17:25] ✅ 1029684 → AUTH OK
[00:17:25] ✅ 18164 → AUTH OK
[00:17:25] ✅ 19513 → AUTH OK
[00:17:25] ✅ 1007282 → AUTH OK
[00:17:25] ✅ 25181 → AUTH OK
[00:17:25] ✅ 5182 → AUTH OK
[00:17:25] ✅ 9285 → AUTH OK
[00:17:25] ✅ 3896 → AUTH OK
[00:17:25] ✅ 1041239 → AUTH OK
[00:17:25] ✅ 62250 → AUTH OK
[00:17:25] ✅ 1037517 → AUTH OK
[00:17:25] ✅ 1015975 → AUTH OK
[00:17:25] ✅ 1088811 → AUTH OK
[00:17:25] ✅ 1037516 → AUTH OK
[00:17:25] ✅ 1041804 → AUTH OK
[00:17:25] ✅ 1042605 → AUTH OK
[00:17:25] ✅ 1012280 → AUTH OK
[00:17:25] ✅ 1035744 → AUTH OK
[00:17:25] ✅ 1040181 → AUTH OK
[00:17:25] ✅ 5150 → AUTH OK
[00:17:25] ✅ 14354 → AUTH OK
[00:17:25] ✅ 4889 → AUTH OK
[00:17:25] ✅ 16523 → AUTH OK
[00:17:25] ✅ 1020338 → AUTH OK
[00:17:25] ✅ 5220 → AUTH OK
[00:17:26] ✅ 1041199 → AUTH OK
[00:17:26] ✅ 1056892 → AUTH OK
[00:17:26] ✅ 6119 → AUTH OK
[00:17:26] ✅ 1047917 → AUTH OK
[00:17:26] ✅ 4919 → AUTH OK
[00:17:26] ✅ 1036383 → AUTH OK
[00:17:26] ✅ 7293 → AUTH OK
[00:17:26] ✅ 1061843 → AUTH OK
[00:17:26] ✅ 1084822 → AUTH OK
[00:17:26] ✅ 1052727 → AUTH OK
[00:17:26] ✅ 4780 → AUTH OK
[00:17:26] ✅ 1041683 → AUTH OK
[00:17:26] ✅ 17483 → AUTH OK
[00:17:26] ✅ 4910 → AUTH OK
[00:17:26] ✅ 9784 → AUTH OK
[00:17:26] ✅ 29954 → AUTH OK
[00:17:26] ✅ 9661 → AUTH OK
[00:17:26] ✅ 1033177 → AUTH OK
[00:17:26] ✅ 1037521 → AUTH OK
[00:17:26] ✅ 1032901 → AUTH OK
[00:17:26] ✅ 28235 → AUTH OK
[00:17:26] ✅ 1050804 → AUTH OK
[00:17:26] ✅ 1018468 → AUTH OK
[00:17:26] ✅ 7537 → AUTH OK
[00:17:26] ✅ 25281 → AUTH OK
[00:17:26] ✅ 7826 → AUTH OK
[00:17:26] ✅ 4852 → AUTH OK
[00:17:26] ✅ 1006037 → AUTH OK
[00:17:26] ✅ 1041726 → AUTH OK
